中央台,#genre#
CCTV1 新闻综合,http://101.207.178.2/pltv/88888888/224/3221227479/1.m3u8
CCTV2 财经,http://101.207.178.2/pltv/88888888/224/3221227477/1.m3u8
cctv3 综艺,http://101.207.178.2/pltv/88888888/224/3221227435/1.m3u8
cctv4 中文国际,http://101.207.178.2/pltv/88888888/224/3221227373/1.m3u8
CCTV5 体育,http://101.207.178.2/pltv/88888888/224/3221227483/1.m3u8
CCTV5+ 体育赛事,http://101.207.178.2/pltv/88888888/224/3221227493/1.m3u8
cctv6 电影,http://101.207.178.2/pltv/88888888/224/3221227431/1.m3u8
cctv7 国防军事,http://101.207.178.2/pltv/88888888/224/3221227429/1.m3u8
cctv8 电视剧,http://101.207.178.2/pltv/88888888/224/3221227427/1.m3u8
cctv9 纪录,http://101.207.178.2/pltv/88888888/224/3221227425/1.m3u8
CCTV10 科教,http://101.207.178.2/pltv/88888888/224/3221227375/1.m3u8
cctv11 戏曲,http://101.207.178.2/pltv/88888888/224/3221227385/1.m3u8
CCTV12 社会与法,http://101.207.178.2/pltv/88888888/224/3221227377/1.m3u8
CCTV13 新闻,http://101.207.178.2/pltv/88888888/224/3221227389/1.m3u8
CCTV14 少儿,http://101.207.178.2/pltv/88888888/224/3221227379/1.m3u8
CCTV15 音乐,http://101.207.178.2/pltv/88888888/224/3221227393/1.m3u8
CCTV17 农业农村,http://101.207.178.2/pltv/88888888/224/3221227577/1.m3u8
中国教育1台,http://101.207.178.2/pltv/88888888/224/3221227339/1.m3u8
中国教育4台,http://101.207.178.2/pltv/88888888/224/3221227337/1.m3u8
体育频道,#genre#
CCTV5 体育,http://101.207.178.2/pltv/88888888/224/3221227491/1.m3u8
CCTV5+ 体育赛事,http://101.207.178.2/pltv/88888888/224/3221227493/1.m3u8
五星体育,http://111.48.34.209/huaweicdn.hb.chinamobile.com/PLTV/2510088/224/3221225964/3.m3u8
劲爆体育,http://183.207.249.9/PLTV/2/224/3221226045/1.m3u8
iHOT爱体育,http://112.17.40.140/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230034/index.m3u8
NewTV超级体育,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225803/1.m3u8
NewTV搏击,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225893/1.m3u8
NewTV搏击,http://39.135.36.154:18890/000000001000/bokesen/1.m3u8?channel-id=ystenlive&Contentid=bokesen&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=4ef1f6fdd53988bdf19472c73151206f21vv&usergroup=g21077200000&version=1.0&owaccmark=bokesen&owchid=ystenlive&owsid=1106497909461689613&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE7tWwcJ9gAtxn4aPYIw71ppLozLIK9YQrvbqFru4XbE8FIhvh4VgXNnv8f9IP4gfSA%3d
NewTV精品体育,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225886/1.m3u8
iHOT爱赛车,http://112.17.40.140/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230032/index.m3u8
虎牙-MMC战神录,http://al.hls.huya.com/backsrc/21310634-2726804434-11711535866617790464-3227426132-10057-A-0-1.m3u8
虎牙-MMC2018,http://aldirect.hls.huya.com/huyalive/1099531627785-1099531627785-85899384574705664-2199063379026-10057-A-0-1_2500.m3u8
虎牙-武林风,http://aldirect.hls.huya.com/huyalive/1099531627794-1099531627794-85899423229411328-2199063379044-10057-A-0-1_2500.m3u8
虎牙-MMC,http://aldirect.hls.huya.com/huyalive/1099531627886-1099531627886-85899818366402560-2199063379228-10057-A-0-1_2500.m3u8
虎牙-MMCxAFC,http://aldirect.hls.huya.com/huyalive/1099531627943-1099531627943-85900063179538432-2199063379342-10057-A-0-1_2500.m3u8
虎牙-WKG&M1,http://aldirect.hls.huya.com/huyalive/1099531728529-1099531728529-86332076759973888-2199063580514-10057-A-0-1_2500.m3u8
虎牙-昆仑决-决胜密码,http://aldirect.hls.huya.com/huyalive/1099531627778-1099531627778-85899354509934592-2199063379012-10057-A-0-1_2500.m3u8
虎牙-GLORY格斗,http://aldirect.hls.huya.com/huyalive/21648863-2733137672-11738736916705574912-2895636158-10057-A-0-1.m3u8
虎牙-崇武英雄,http://aldirect.hls.huya.com/huyalive/1099531739775-1099531739775-86380377962184704-2199063603006-10057-A-0-1_2500.m3u8
虎牙-MMC战神录圣诞摔角,http://aldirect.hls.huya.com/huyalive/1099531740070-1099531740070-86381644977537024-2199063603596-10057-A-0-1_2500.m3u8
虎牙-战斗民族作死集锦,http://aldirect.hls.huya.com/backsrc/1099531739995-1099531739995-86381322854989824-2199063603446-10057-A-0-1_2500.m3u8
虎牙-扛老婆大赛,http://aldirect.hls.huya.com/huyalive/1099531740249-1099531740249-86382413776683008-2199063603954-10057-A-0-1_2500.m3u8
虎牙-外国人少的原因,http://aldirect.hls.huya.com/huyalive/1099531739996-1099531739996-86381327149957120-2199063603448-10057-A-0-1_2500.m3u8
虎牙-蜜桃健身,http://aldirect.hls.huya.com/huyalive/1099531740251-1099531740251-86382422366617600-2199063603958-10057-A-0-1_2500.m3u8
虎牙-2020年1月4日功夫嘉年华,http://aldirect.hls.huya.com/huyalive/1099531740247-1099531740247-86382405186748416-2199063603950-10057-A-0-1_2500.m3u8
虎牙-体得杯健身健美,http://aldirect.hls.huya.com/huyalive/1099531739825-1099531739825-86380592710549504-2199063603106-10057-A-0-1_2500.m3u8
虎牙-重口味运动,http://aldirect.hls.huya.com/huyalive/1099531740248-1099531740248-86382409481715712-2199063603952-10057-A-0-1_2500.m3u8
快乐垂钓,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226132/1.m3u8
ELEVVEN SPORTS 2,http://cloud-play.hhalloy.com/live/94283c6401f80334d9acd488b649830b.flv
ELEVVEN SPORTS PLUS,http://cloud-play.hhalloy.com/live/b599c0682fbb5364078cb9e3093228a6.flv
FOX SPORTS[HD],http://cloud-play.hhalloy.com/live/b00b46e382e81efd9902a848c9b89101.flv
FOX SPORTS2[HD],http://cloud-play.hhalloy.com/live/a726b0d8db38a23435c5c3ba95507d3e.flv
FOX SPORTS3,http://cloud-play.hhalloy.com/live/1a4ff6880b679dd340e42a9b61fe2d9f.flv
纬来体育[HD],http://cloud-play.hhalloy.com/live/464311a99c6465a1f36681b73c62fa83.flv
智林体育台,http://cloud-play.hhalloy.com/live/12b7289a05d4cb3c2b79f38b030e2548.flv
博斯魅力[HD],http://cloud-play.hhalloy.com/live/906ff5c1e590fdc0f41744077f56672a.flv
博斯无限[HD],http://cloud-play.hhalloy.com/live/8c9a98717ee9e5136636c3bedbb852b8.flv
博斯运动1[HD],http://cloud-play.hhalloy.com/live/1cebe1e25e9c69e2ed2e1e6012aeb2d3.flv
博斯运动2[HD],http://cloud-play.hhalloy.com/live/c71aa3f9ef9e92531a06863b9a731849.flv
四川频道,#genre#
四川卫视,http://101.207.178.2/pltv/88888888/224/3221227417/1.m3u8
SCTV2 四川文化旅游,http://101.207.178.2/pltv/88888888/224/3221227415/1.m3u8
SCTV3 四川经济,http://101.207.178.2/pltv/88888888/224/3221227413/1.m3u8
SCTV4 四川新闻,http://101.207.178.2/pltv/88888888/224/3221227411/1.m3u8
SCTV5 四川影视文艺,http://101.207.178.2/pltv/88888888/224/3221227409/1.m3u8
SCTV7 四川妇女儿童,http://101.207.178.2/pltv/88888888/224/3221227405/1.m3u8
SCTV8 四川科教[785*576],http://101.207.178.2/pltv/88888888/224/3221227459/1.m3u8
SCTV9 四川公共乡村,http://101.207.178.2/pltv/88888888/224/3221227403/1.m3u8
峨眉电影,http://101.207.178.2/pltv/88888888/224/3221227481/1.m3u8
四川国际,http://101.207.178.2/pltv/88888888/224/3221227381/1.m3u8
CDTV-1 新闻综合频道,http://101.207.178.2/pltv/88888888/224/3221227495/1.m3u8
CDTV-2 经济资讯频道,https://guihet.com/download/livetv/cditv/cditv.php?show-192-2-1
CDTV-3 都市生活频道,http://101.207.178.2/pltv/88888888/224/3221227497/1.m3u8
CDTV-4 影视文艺频道,https://guihet.com/download/livetv/cditv/cditv.php?show-192-45-1
CDTV-5 公共频道,https://guihet.com/download/livetv/cditv/cditv.php?show-192-5-1
CDTV-6 少儿频道,https://guihet.com/download/livetv/cditv/cditv.php?show-192-6-1
金堂电视台,https://guihet.com/download/livetv/cditv/cditv.php?show-2762-840-1
郫都电视台,https://guihet.com/download/livetv/cditv/cditv.php?show-2762-845-1
PANDA熊猫新闻[1920*1080],http://101.207.178.2/pltv/88888888/224/3221227583/1.m3u8
PANDA直播间,http://101.207.178.2/pltv/88888888/224/3221227515/1.m3u8
阿坝ABTV,http://101.207.178.2/pltv/88888888/224/3221227561/1.m3u8
南充综合,http://101.207.178.2/pltv/88888888/224/3221227523/1.m3u8
巴中综合,http://101.207.178.2/pltv/88888888/224/3221227557/1.m3u8
达州新闻综合,http://101.207.178.2/pltv/88888888/224/3221227581/1.m3u8
德阳公共,http://101.207.178.2/pltv/88888888/224/3221227555/1.m3u8
广安新闻综合,http://101.207.178.2/pltv/88888888/224/3221227543/1.m3u8
自贡综合,http://101.207.178.2/pltv/88888888/224/3221227525/1.m3u8
凉山新闻综合,http://101.207.178.2/pltv/88888888/224/3221227551/1.m3u8
泸州综合,http://101.207.178.2/pltv/88888888/224/3221227529/1.m3u8
